epoch,loss,categorical_accuracy,val_loss,val_categorical_accuracy
0,1.453449726,0.589873433,2.648942232,0.552083313
1,0.566376209,0.780108511,5.386453629,0.317708343
2,0.459603071,0.821338177,8.384958267,0.322048604
3,0.433213413,0.839421332,4.628088474,0.446180552
4,0.356221855,0.869439423,6.734727859,0.3125
5,0.344922632,0.87160939,5.351993561,0.319444448
6,0.314959168,0.884990931,4.330696106,0.469618052
7,0.317509562,0.884267628,3.63190341,0.576388896
8,0.324169904,0.878551126,7.574888229,0.323784709
9,0.297703147,0.897649169,6.48269558,0.322048604
10,0.271974206,0.9012658,5.934473038,0.386284709
11,0.264062226,0.906690776,5.608222485,0.372395843
12,0.26511997,0.911754072,6.402113914,0.316840291
13,0.239109471,0.919349015,9.084726334,0.315104157
14,0.240788653,0.918264031,6.009929657,0.494791657
15,0.224778771,0.925135612,6.215880871,0.487847209
16,0.230756328,0.923688948,5.439507008,0.509548604
17,0.236646637,0.917179048,6.736409664,0.322048604
18,0.224655107,0.920072317,3.110585451,0.421006948
19,0.221699089,0.922242343,6.395653725,0.444444448
20,0.245382547,0.91790235,4.474845409,0.631076396
21,0.20360668,0.921880662,4.078639507,0.624131918
22,0.198251829,0.933092237,3.541149855,0.621527791
23,0.197999015,0.932368875,1.763353825,0.654513896
24,0.209669322,0.928390622,3.343795776,0.640625
25,0.203479841,0.928390622,3.630354881,0.6171875
26,0.190334767,0.937793851,1.70061934,0.661458313
27,0.194066063,0.937070549,0.865176558,0.738715291
28,0.194369227,0.93092227,3.661624908,0.615451396
29,0.190934435,0.935985506,1.688197851,0.661458313
