Model No,Basic Model Name,Epochs,loss,categorical_accuracy,val_loss,val_categorical_accuracy,,
MODEL1,Basic Model-A,0,1.453449726,0.589873433,2.648942232,0.552083313,,
MODEL1,Basic Model-A,1,0.566376209,0.780108511,5.386453629,0.317708343,,
MODEL1,Basic Model-A,2,0.459603071,0.821338177,8.384958267,0.322048604,,
MODEL1,Basic Model-A,3,0.433213413,0.839421332,4.628088474,0.446180552,,
MODEL1,Basic Model-A,4,0.356221855,0.869439423,6.734727859,0.3125,,
MODEL1,Basic Model-A,5,0.344922632,0.87160939,5.351993561,0.319444448,,
MODEL1,Basic Model-A,6,0.314959168,0.884990931,4.330696106,0.469618052,,
MODEL1,Basic Model-A,7,0.317509562,0.884267628,3.63190341,0.576388896,,
MODEL1,Basic Model-A,8,0.324169904,0.878551126,7.574888229,0.323784709,,
MODEL1,Basic Model-A,9,0.297703147,0.897649169,6.48269558,0.322048604,,
MODEL1,Basic Model-A,10,0.271974206,0.9012658,5.934473038,0.386284709,,
MODEL1,Basic Model-A,11,0.264062226,0.906690776,5.608222485,0.372395843,,
MODEL1,Basic Model-A,12,0.26511997,0.911754072,6.402113914,0.316840291,,
MODEL1,Basic Model-A,13,0.239109471,0.919349015,9.084726334,0.315104157,,
MODEL1,Basic Model-A,14,0.240788653,0.918264031,6.009929657,0.494791657,,
MODEL1,Basic Model-A,15,0.224778771,0.925135612,6.215880871,0.487847209,,
MODEL1,Basic Model-A,16,0.230756328,0.923688948,5.439507008,0.509548604,,
MODEL1,Basic Model-A,17,0.236646637,0.917179048,6.736409664,0.322048604,,
MODEL1,Basic Model-A,18,0.224655107,0.920072317,3.110585451,0.421006948,,
MODEL1,Basic Model-A,19,0.221699089,0.922242343,6.395653725,0.444444448,,
MODEL1,Basic Model-A,20,0.245382547,0.91790235,4.474845409,0.631076396,,
MODEL1,Basic Model-A,21,0.20360668,0.921880662,4.078639507,0.624131918,,
MODEL1,Basic Model-A,22,0.198251829,0.933092237,3.541149855,0.621527791,,
MODEL1,Basic Model-A,23,0.197999015,0.932368875,1.763353825,0.654513896,,
MODEL1,Basic Model-A,24,0.209669322,0.928390622,3.343795776,0.640625,,
MODEL1,Basic Model-A,25,0.203479841,0.928390622,3.630354881,0.6171875,,
MODEL1,Basic Model-A,26,0.190334767,0.937793851,1.70061934,0.661458313,,
MODEL1,Basic Model-A,27,0.194066063,0.937070549,0.865176558,0.738715291,,
MODEL1,Basic Model-A,28,0.194369227,0.93092227,3.661624908,0.615451396,,
MODEL1,Basic Model-A,29,0.190934435,0.935985506,1.688197851,0.661458313,,
MODEL2,Basic Model-B,0,0.790375233,0.735262215,1.588872313,0.318576396,,
MODEL2,Basic Model-B,1,0.350243181,0.868716121,2.828291178,0.5703125,,
MODEL2,Basic Model-B,2,0.294763118,0.891139269,3.514718294,0.498263896,,
MODEL2,Basic Model-B,3,0.256545931,0.908735812,4.483370304,0.322916657,,
MODEL2,Basic Model-B,4,0.248108611,0.910669088,5.05074501,0.322916657,,
MODEL2,Basic Model-B,5,0.242402613,0.916094005,4.609525204,0.326388896,,
MODEL2,Basic Model-B,6,0.2215624,0.923327327,4.609165192,0.336805552,,
MODEL2,Basic Model-B,7,0.225208938,0.92441231,4.368046284,0.424479157,,
MODEL2,Basic Model-B,8,0.209473744,0.928028941,5.140511513,0.346354157,,
MODEL2,Basic Model-B,9,0.212109596,0.924773932,3.919435263,0.611111104,,
MODEL2,Basic Model-B,10,0.18337062,0.936347187,4.054478168,0.556423604,,
MODEL2,Basic Model-B,11,0.157440528,0.937793851,3.915763378,0.624131918,,
MODEL2,Basic Model-B,12,0.186329737,0.936434686,3.659167051,0.547743082,,
MODEL2,Basic Model-B,13,0.165349871,0.94068718,3.920658588,0.59375,,
MODEL2,Basic Model-B,14,0.157650292,0.94394213,3.066395998,0.625868082,,
MODEL2,Basic Model-B,15,0.160558909,0.946112096,4.42523098,0.546006918,,
MODEL2,Basic Model-B,16,0.172295749,0.940325499,3.405371189,0.634548604,,
MODEL2,Basic Model-B,17,0.166373774,0.940325499,3.900690794,0.611979187,,
MODEL2,Basic Model-B,18,0.156585589,0.94719708,3.278483391,0.635416687,,
MODEL2,Basic Model-B,19,0.163373172,0.942133844,3.443621874,0.647569418,,
MODEL2,Basic Model-B,20,0.148875967,0.950090408,0.289535701,0.908854187,,
MODEL2,Basic Model-B,21,0.1361202,0.954792023,1.015476704,0.698784709,,
MODEL2,Basic Model-B,22,0.11191795,0.959855318,2.218974829,0.598958313,,
MODEL2,Basic Model-B,23,0.122759536,0.956321001,2.697914362,0.519965291,,
MODEL2,Basic Model-B,24,0.14395152,0.949367106,2.780266762,0.641493082,,
MODEL2,Basic Model-B,25,0.125163138,0.955877006,3.528181314,0.502604187,,
MODEL2,Basic Model-B,26,0.122683026,0.952622056,1.010557771,0.552951396,,
MODEL2,Basic Model-B,27,0.110048749,0.964918613,1.041073322,0.526909709,,
MODEL2,Basic Model-B,28,0.119467743,0.959493697,2.953885794,0.622395813,,
MODEL2,Basic Model-B,29,0.1354056,0.954792023,2.605325937,0.618055582,,
MODEL3,Basic Model-C,0,1.791703105,0.630741417,2.045836687,0.597222209,,
MODEL3,Basic Model-C,1,1.146661282,0.763849437,1.040211082,0.606770813,,
MODEL3,Basic Model-C,2,0.680578291,0.791681707,1.770933986,0.590277791,,
MODEL3,Basic Model-C,3,0.554920971,0.824231446,5.270439148,0.576388896,,
MODEL3,Basic Model-C,4,0.50745666,0.82567811,8.26766777,0.611979187,,
MODEL3,Basic Model-C,5,0.406476349,0.844846308,9.329237938,0.569444418,,
MODEL3,Basic Model-C,6,0.437882453,0.84882462,10.84492302,0.513888896,,
MODEL3,Basic Model-C,7,0.434834331,0.843037963,14.11985111,0.620659709,,
MODEL3,Basic Model-C,8,0.383505374,0.870162725,12.81358624,0.611979187,,
MODEL3,Basic Model-C,9,0.397814661,0.852802873,14.16231441,0.625868082,,
MODEL3,Basic Model-C,10,0.455510855,0.851356268,12.1323328,0.53125,,
MODEL3,Basic Model-C,11,0.404034913,0.869077742,16.03043556,0.576388896,,
MODEL3,Basic Model-C,12,0.439563066,0.859674513,10.14250565,0.547743082,,
MODEL3,Basic Model-C,13,0.364890754,0.8813743,10.19813347,0.592013896,,
MODEL3,Basic Model-C,14,0.344027609,0.884629309,6.791028023,0.6171875,,
MODEL3,Basic Model-C,15,0.293038338,0.898372531,5.582818508,0.615451396,,
MODEL3,Basic Model-C,16,0.283991098,0.896202505,5.307994366,0.614583313,,
MODEL3,Basic Model-C,17,0.292636037,0.894032538,6.641438007,0.524305582,,
